Symbol,Security,GICS_Sector,GICS_Sub-Industry,Date_added,Founded
HST,Host Hotels & Resorts,Real Estate,Hotel & Resort REITs,2007,1993
HWM,Howmet Aerospace,Industrials,Aerospace & Defense,1957,2016
HPQ,HP Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",1974,1939
HUM,Humana,Health Care,Managed Health Care,1957,1961
HBAN,Huntington Bancshares,Financials,Regional Banks,1997,1866
HII,Huntington Ingalls Industries,Industrials,Aerospace & Defense,2018,2011
IBM,IBM,Information Technology,IT Consulting & Other Services,1957,1911
IEX,IDEX Corporation,Industrials,Industrial Machinery,2019,1988
IDXX,Idexx Laboratories,Health Care,Health Care Equipment,2017,1983
ITW,Illinois Tool Works,Industrials,Industrial Machinery,1986,1912
ILMN,Illumina,Health Care,Life Sciences Tools & Services,2015,1998
INCY,Incyte,Health Care,Biotechnology,2017,1991
IR,Ingersoll Rand,Industrials,Industrial Machinery,2020,1859
INTC,Intel,Information Technology,Semiconductors,1976,1968
ICE,Intercontinental Exchange,Financials,Financial Exchanges & Data,2007,2000
IFF,International Flavors & Fragrances,Materials,Specialty Chemicals,1976,1889
IP,International Paper,Materials,Paper Packaging,1957,1898
IPG,Interpublic Group of Companies (The),Communication Services,Advertising,1992,1930
INTU,Intuit,Information Technology,Application Software,2000,1983
ISRG,Intuitive Surgical,Health Care,Health Care Equipment,2008,1995
IVZ,Invesco,Financials,Asset Management & Custody Banks,2008,1935
INVH,Invitation Homes,Real Estate,Residential REITs,2022,2012
IQV,IQVIA,Health Care,Life Sciences Tools & Services,2017,1982
IRM,Iron Mountain,Real Estate,Specialized REITs,2009,1951
JBHT,J.B. Hunt,Industrials,Trucking,2015,1961
JKHY,Jack Henry & Associates,Information Technology,Data Processing & Outsourced Services,2018,1976
J,Jacobs Solutions,Industrials,Construction & Engineering,2007,1947
JNJ,Johnson & Johnson,Health Care,Pharmaceuticals,1973,1886
JCI,Johnson Controls,Industrials,Building Products,2010,1885
JPM,JPMorgan Chase,Financials,Diversified Banks,1975,1799
JNPR,Juniper Networks,Information Technology,Communications Equipment,2006,1996
K,Kellogg's,Consumer Staples,Packaged Foods & Meats,1989,1906
KDP,Keurig Dr Pepper,Consumer Staples,Soft Drinks,2022,1981
